,h,r,t
23952,4218,0,11027
50802,9548,0,10715
26358,4585,0,11021
53490,10147,0,10779
18254,3213,0,10715
16581,2918,0,11020
32414,5684,0,10727
54555,10393,0,10839
31836,5573,0,10848
7223,1233,0,10798
39817,7270,0,11017
39399,7182,0,10785
12351,2168,0,10996
40113,7324,0,10781
3507,620,0,10899
42962,7910,0,10780
11830,2080,0,11024
37500,6791,0,10758
34903,6227,0,10789
50730,9531,0,10844
48957,9168,0,10797
3934,705,0,10734
48058,8977,0,10820
7151,1219,0,10744
33858,5999,0,10734
6323,1082,0,10764
15297,2685,0,11028
32847,5784,0,10812
44289,8196,0,10726
330,60,0,10781
24432,4293,0,11022
13539,2380,0,11021
7257,1240,0,10858
8248,1430,0,10795
45599,8488,0,10822
55113,10529,0,10716
20623,3660,0,10782
41207,7554,0,10876
25738,4489,0,10764
40277,7358,0,10757
44656,8277,0,10764
624,111,0,10715
10110,1794,0,10876
27984,4872,0,10839
25897,4515,0,10795
18632,3286,0,11022
34942,6237,0,10829
20891,3713,0,10715
40887,7474,0,10732
15481,2720,0,11023
4536,795,0,10731
16840,2965,0,11021
1877,338,0,10848
7438,1279,0,10717
18563,3274,0,11024
2834,489,0,10780
43678,8057,0,10771
50204,9424,0,10720
34917,6231,0,10795
53649,10186,0,10732
9340,1643,0,10818
39774,7263,0,10940
40831,7466,0,10734
40416,7382,0,10732
10318,1838,0,10773
40874,7473,0,10742
53574,10167,0,10793
53188,10084,0,10953
24892,4357,0,10717
15688,2756,0,11017
54761,10447,0,10764
50607,9506,0,10773
21254,3773,0,11017
18912,3333,0,11021
4526,793,0,10771
47498,8864,0,10766
40570,7413,0,10795
26152,4558,0,11034
23833,4202,0,10717
3103,541,0,10798
5085,887,0,10766
39027,7111,0,10721
24290,4269,0,11026
21378,3800,0,10940
53827,10224,0,10717
3850,692,0,10752
52512,9921,0,10835
2319,401,0,10777
49491,9281,0,10731
47258,8809,0,10778
2190,386,0,10896
18461,3255,0,11022
54985,10493,0,10883
29068,5041,0,11018
6762,1151,0,10795
9229,1617,0,10853
13536,2380,0,11026
52296,9871,0,10843
11646,2050,0,11017
27860,4857,0,11022
53177,10084,0,10741
36443,6547,0,10988
50379,9457,0,10863
53671,10190,0,10835
5745,976,0,10734
39827,7271,0,10773
55958,10700,0,10773
51716,9743,0,10835
55500,10613,0,10906
43725,8066,0,10780
37095,6699,0,10979
4020,723,0,10720
20138,3561,0,10720
31407,5488,0,10733
45525,8468,0,10830
35438,6327,0,10787
7714,1333,0,10885
32014,5603,0,10754
52164,9840,0,10813
54914,10478,0,10796
15212,2669,0,10966
38199,6946,0,10787
44550,8256,0,10795
45586,8485,0,10830
2769,480,0,10743
24890,4357,0,10735
39813,7269,0,10731
12934,2268,0,10996
3945,707,0,10794
27154,4748,0,10717
42914,7902,0,10815
29734,5157,0,10773
50541,9494,0,10717
52304,9872,0,10723
18274,3216,0,11017
14349,2528,0,10856
7728,1338,0,10811
22112,3920,0,10795
47879,8941,0,10830
55041,10509,0,10858
42343,7783,0,10830
3757,676,0,10715
12391,2175,0,10734
1617,296,0,10717
53814,10221,0,10717
15201,2666,0,11024
26228,4566,0,11022
36853,6644,0,10940
28682,4982,0,10996
10706,1904,0,11027
32704,5750,0,10726
50281,9438,0,10778
15225,2671,0,10750
37080,6696,0,10723
54792,10452,0,10757
25790,4496,0,11019
7545,1297,0,10764
30593,5324,0,10893
8874,1558,0,10755
47315,8820,0,10734
23938,4216,0,11024
19070,3360,0,11020
48558,9083,0,10780
46212,8606,0,10772
34568,6146,0,10812
5819,987,0,10725
33232,5869,0,10720
50856,9560,0,10715
42210,7759,0,10717
28383,4928,0,10765
36693,6609,0,10940
12798,2243,0,10767
33925,6015,0,10988
44353,8211,0,10727
37113,6703,0,10940
1708,314,0,10843
19159,3377,0,10717
44898,8326,0,10734
36033,6453,0,10940
29864,5184,0,10793
30459,5298,0,10732
47319,8821,0,10773
54995,10496,0,10809
33940,6019,0,10890
104,19,0,10719
34628,6162,0,10787
55478,10612,0,10738
36412,6540,0,10755
2683,465,0,10810
6425,1100,0,10734
45326,8423,0,10715
50973,9581,0,10738
36993,6674,0,11034
5984,1018,0,10714
42383,7792,0,10727
1332,240,0,10720
47217,8801,0,10748
47419,8846,0,10889
1976,350,0,10810
6009,1023,0,10803
5289,907,0,10877
37648,6822,0,10787
43567,8035,0,10795
48024,8972,0,10715
24547,4312,0,11022
8047,1381,0,10833
12123,2129,0,11022
39752,7256,0,10785
25982,4531,0,11024
6752,1151,0,10820
7870,1357,0,10891
17704,3121,0,11022
44415,8224,0,10789
38146,6934,0,10764
42660,7846,0,10850
20926,3718,0,11023
8742,1538,0,10812
5743,975,0,10830
250,43,0,10818
24441,4294,0,10764
16553,2911,0,11025
20937,3720,0,11019
41028,7499,0,10870
46672,8702,0,10754
38986,7102,0,10787
44315,8202,0,10958
1743,320,0,10830
36094,6466,0,10787
29213,5066,0,10719
12733,2230,0,11019
14442,2542,0,11024
404,75,0,10714
50298,9441,0,10751
29067,5040,0,11023
9608,1693,0,10948
2786,483,0,10746
7111,1212,0,10734
20857,3705,0,10749
46955,8757,0,10717
16577,2917,0,10727
39716,7247,0,10770
29901,5190,0,10964
20217,3575,0,10734
1291,235,0,10843
4375,771,0,10716
19732,3484,0,10764
9644,1700,0,10820
34607,6157,0,10744
28325,4917,0,10753
23758,4190,0,10800
23399,4129,0,11017
11978,2107,0,11026
38078,6919,0,10940
3302,579,0,10808
29057,5039,0,10747
19760,3487,0,10835
35307,6299,0,10808
35434,6326,0,10785
4098,727,0,10948
36613,6587,0,10787
11874,2089,0,10844
36279,6510,0,10979
22727,4027,0,10883
2131,383,0,10756
19073,3361,0,11021
6963,1183,0,10975
52945,10028,0,10911
39401,7182,0,10988
15771,2770,0,11023
37904,6880,0,10727
29086,5043,0,11020
44634,8272,0,10847
3074,535,0,10899
38827,7070,0,10717
25725,4486,0,10882
11403,2009,0,11019
43596,8040,0,10755
31822,5570,0,10734
22155,3929,0,10714
37794,6853,0,10794
36167,6484,0,10940
48869,9148,0,10764
32928,5804,0,10884
55906,10687,0,10744
37709,6836,0,10787
54943,10486,0,10773
27611,4823,0,10753
37840,6865,0,10785
29844,5182,0,10843
6297,1075,0,10865
11965,2106,0,10773
37587,6809,0,10846
34997,6246,0,10940
53983,10262,0,10801
31750,5557,0,10876
50416,9466,0,10734
55388,10593,0,10835
27247,4763,0,11021
3703,663,0,10715
50380,9457,0,10779
25772,4494,0,11034
51454,9689,0,11021
45478,8457,0,10748
5399,929,0,10727
4174,737,0,10919
23629,4168,0,10800
51669,9731,0,10862
6238,1064,0,10717
18121,3187,0,11020
3221,563,0,10781
2686,465,0,10846
39022,7111,0,10795
9539,1682,0,10715
49936,9365,0,10950
22633,4009,0,11019
31039,5412,0,10721
27472,4793,0,11020
27328,4774,0,11026
42722,7860,0,10766
37756,6846,0,10940
36410,6540,0,10787
47289,8816,0,10812
47979,8962,0,10780
2331,405,0,10880
18265,3214,0,11023
55492,10613,0,10886
54287,10333,0,10717
3707,664,0,10735
22341,3961,0,10795
49093,9198,0,10726
32984,5817,0,10884
1594,293,0,10795
54541,10390,0,10803
52746,9980,0,10715
55462,10609,0,10830
22994,4066,0,11034
36129,6474,0,10812
51116,9615,0,10734
36029,6452,0,10940
45624,8496,0,10812
13506,2374,0,10767
29356,5089,0,11019
9360,1647,0,10880
23037,4072,0,10795
31484,5506,0,10817
13383,2353,0,11022
41969,7710,0,10715
6469,1108,0,10789
10202,1814,0,10756
55103,10526,0,10846
23657,4173,0,11027
55420,10600,0,10971
30813,5366,0,10734
51872,9777,0,10744
25076,4388,0,11019
6240,1065,0,10954
11113,1964,0,10773
52323,9876,0,10880
28976,5028,0,11020
25747,4490,0,10813
35089,6266,0,10940
11160,1969,0,11020
48159,9001,0,10920
40868,7471,0,11024
16108,2824,0,11020
44223,8180,0,10715
44437,8229,0,10727
31653,5539,0,10795
14387,2534,0,11020
1323,239,0,10738
653,116,0,10866
3586,636,0,10779
54564,10396,0,10803
30331,5271,0,10924
35906,6430,0,10718
14532,2557,0,11022
36606,6585,0,10940
12378,2173,0,11027
29820,5175,0,10830
30965,5395,0,10803
15399,2704,0,11024
25563,4464,0,10773
45035,8359,0,10778
12795,2242,0,11023
39234,7149,0,10785
45188,8392,0,10727
7285,1247,0,10720
25690,4480,0,11019
4444,779,0,10714
9860,1740,0,11016
19052,3358,0,11026
49857,9349,0,10800
1352,245,0,10751
13745,2414,0,11023
13366,2350,0,11020
887,162,0,10735
46361,8634,0,10876
22790,4037,0,10770
50675,9518,0,10802
42510,7822,0,10730
24101,4236,0,11021
7611,1310,0,10720
27075,4731,0,10820
43439,8006,0,10882
2522,438,0,10767
48262,9023,0,10880
1230,227,0,10727
31866,5578,0,10738
22544,3996,0,10843
53816,10221,0,10726
35893,6426,0,10717
48218,9014,0,10780
18619,3284,0,11022
41928,7703,0,10726
938,176,0,10901
50364,9454,0,10750
18789,3313,0,11021
15631,2747,0,10727
40625,7426,0,10753
47468,8857,0,10745
54721,10435,0,10767
6777,1153,0,10795
6619,1125,0,10755
44893,8326,0,10757
44413,8224,0,10824
6631,1127,0,10764
22625,4008,0,11022
273,46,0,10813
55523,10619,0,10717
56021,10712,0,10803
45842,8539,0,10745
43950,8118,0,11017
12988,2276,0,11017
2889,500,0,10750
19383,3419,0,11024
9132,1598,0,10775
33482,5922,0,10979
41124,7530,0,10829
38465,7004,0,10781
39607,7227,0,10988
24204,4255,0,10727
46284,8619,0,10808
41798,7675,0,10747
27961,4868,0,11018
4783,830,0,10832
34832,6210,0,10787
36864,6647,0,10988
31497,5510,0,10743
7614,1311,0,10765
17927,3154,0,11020
52926,10024,0,10770
43754,8072,0,10851
34542,6141,0,10994
15053,2636,0,10764
24034,4228,0,11017
8255,1433,0,10783
23716,4181,0,10878
16875,2970,0,10716
46533,8667,0,10742
9771,1719,0,10773
28251,4906,0,11023
48880,9151,0,10753
33362,5900,0,10882
21669,3852,0,10734
44205,8176,0,10882
38731,7055,0,10717
49954,9368,0,10734
28951,5024,0,10761
18522,3267,0,10996
22996,4066,0,11017
47416,8845,0,10717
8358,1458,0,10717
46573,8677,0,10796
521,92,0,10768
47792,8929,0,10762
28326,4917,0,10764
10893,1929,0,11021
50763,9538,0,10738
51955,9797,0,10717
34980,6243,0,10723
50937,9577,0,10955
726,127,0,10866
9689,1707,0,10725
26997,4713,0,10818
47809,8929,0,10864
33225,5868,0,10719
55788,10659,0,10803
19460,3432,0,10725
27074,4730,0,10791
29354,5089,0,11025
31081,5423,0,10803
14867,2609,0,10913
39297,7160,0,10755
2961,513,0,10766
23491,4143,0,10804
35365,6310,0,10889
4749,825,0,10863
3341,589,0,10874
6874,1168,0,10735
13111,2301,0,10744
38020,6906,0,10787
48277,9027,0,10850
20141,3561,0,10766
27859,4857,0,11021
50759,9538,0,10843
40460,7391,0,10794
12480,2191,0,10757
53793,10216,0,10938
41363,7587,0,10723
14806,2599,0,11024
34259,6087,0,10793
26421,4596,0,10853
30510,5304,0,10717
14616,2568,0,11020
46171,8603,0,10869
10939,1939,0,11027
16702,2940,0,11024
48773,9124,0,10828
43074,7933,0,10757
54124,10295,0,11048
43965,8120,0,10800
41654,7644,0,10876
14217,2502,0,11022
43902,8108,0,10727
5249,902,0,10740
16439,2894,0,10734
2367,409,0,10718
16767,2953,0,11017
35384,6314,0,10988
11226,1980,0,11018
25553,4462,0,10725
15439,2712,0,10764
2399,417,0,10948
9103,1598,0,10863
52737,9977,0,10718
18588,3279,0,11026
34262,6087,0,10862
10032,1779,0,10761
32630,5736,0,10850
31897,5585,0,10854
4693,818,0,10757
46010,8571,0,10907
9282,1632,0,10730
34496,6132,0,10787
14271,2513,0,10996
51929,9790,0,10753
25524,4458,0,11025
38193,6945,0,10787
46514,8663,0,10767
3033,528,0,10757
13002,2279,0,11017
51013,9592,0,10880
22363,3964,0,11020
17379,3062,0,11020
48831,9139,0,10801
2537,440,0,10716
50026,9385,0,10903
46999,8764,0,10835
6613,1123,0,10734
22682,4016,0,10715
36977,6670,0,10828
39323,7164,0,10922
20627,3661,0,10996
4107,728,0,10757
42528,7824,0,10803
6661,1132,0,10974
35068,6260,0,10800
27770,4846,0,11025
6200,1057,0,10865
42654,7846,0,10847
29001,5033,0,11034
46696,8707,0,10909
39461,7198,0,10940
34372,6102,0,10884
24357,4280,0,11027
45400,8441,0,10714
44779,8306,0,10938
53018,10047,0,10727
32026,5606,0,10773
47757,8923,0,10720
19651,3467,0,10834
10315,1837,0,10868
31616,5529,0,10766
9154,1600,0,10795
18096,3181,0,10737
17550,3096,0,11021
26368,4587,0,11005
41305,7577,0,10795
37843,6866,0,10940
8890,1562,0,10715
47276,8812,0,10734
4114,729,0,10862
17102,3012,0,11019
17045,3002,0,11022
8036,1380,0,10840
5444,935,0,10735
53527,10156,0,10891
25636,4473,0,11025
29563,5125,0,11023
41176,7547,0,10843
27364,4778,0,11021
4387,772,0,10734
45083,8371,0,10797
9189,1606,0,10847
15199,2666,0,11020
47986,8963,0,10734
35593,6357,0,10979
41439,7604,0,10755
27787,4848,0,11017
13350,2348,0,11023
