,h,r,t
0,10714,1,11053
1,10715,1,11053
2,10716,1,11054
3,10717,1,11053
4,10718,1,11053
5,10719,1,11053
6,10720,1,11053
7,10721,1,11055
8,10722,1,11053
9,10723,1,11055
10,10724,1,11055
11,10725,1,11055
12,10726,1,11053
13,10727,1,11053
14,10728,1,11055
15,10729,1,11053
16,10730,1,11053
17,10731,1,11053
18,10732,1,11056
19,10733,1,11056
20,10734,1,11053
21,10735,1,11057
22,10736,1,11057
23,10737,1,11057
24,10738,1,11057
25,10739,1,11057
26,10740,1,11057
27,10741,1,11057
28,10742,1,11056
29,10743,1,11055
30,10744,1,11055
31,10745,1,11055
32,10746,1,11053
33,10747,1,11055
34,10748,1,11053
35,10749,1,11053
36,10750,1,11053
37,10751,1,11053
38,10752,1,11055
39,10753,1,11053
40,10754,1,11053
41,10755,1,11053
42,10756,1,11053
43,10757,1,11053
44,10758,1,11054
45,10759,1,11053
46,10760,1,11053
47,10761,1,11055
48,10762,1,11056
49,10763,1,11057
50,10764,1,11053
51,10765,1,11053
52,10766,1,11053
53,10767,1,11056
54,10768,1,11055
55,10769,1,11053
56,10770,1,11056
57,10771,1,11053
58,10772,1,11053
59,10773,1,11053
60,10774,1,11057
61,10775,1,11057
62,10776,1,11056
63,10777,1,11055
64,10778,1,11053
65,10779,1,11056
66,10780,1,11055
67,10781,1,11056
68,10782,1,11056
69,10783,1,11055
70,10784,1,11053
71,10785,1,11057
72,10786,1,11055
73,10787,1,11056
74,10788,1,11055
75,10789,1,11056
76,10790,1,11056
77,10791,1,11056
78,10792,1,11057
79,10793,1,11057
80,10794,1,11055
81,10795,1,11053
82,10796,1,11053
83,10797,1,11053
84,10798,1,11053
85,10799,1,11053
86,10800,1,11057
87,10801,1,11056
88,10802,1,11053
89,10803,1,11053
90,10804,1,11055
91,10805,1,11053
92,10806,1,11053
93,10807,1,11057
94,10808,1,11055
95,10809,1,11056
96,10810,1,11056
97,10811,1,11054
98,10812,1,11054
99,10813,1,11056
100,10814,1,11055
101,10815,1,11055
102,10816,1,11055
103,10817,1,11055
104,10818,1,11056
105,10819,1,11054
106,10820,1,11053
107,10821,1,11054
108,10822,1,11057
109,10823,1,11053
110,10824,1,11053
111,10825,1,11055
112,10826,1,11053
113,10827,1,11055
114,10828,1,11056
115,10829,1,11054
116,10830,1,11057
117,10831,1,11057
118,10832,1,11054
119,10833,1,11057
120,10834,1,11053
121,10835,1,11053
122,10836,1,11053
123,10837,1,11053
124,10838,1,11053
125,10839,1,11053
126,10840,1,11055
127,10841,1,11053
128,10842,1,11053
129,10843,1,11055
130,10844,1,11054
131,10845,1,11055
132,10846,1,11053
133,10847,1,11053
134,10848,1,11055
135,10849,1,11053
136,10850,1,11053
137,10851,1,11056
138,10852,1,11053
139,10853,1,11055
140,10854,1,11053
141,10855,1,11055
142,10856,1,11056
143,10857,1,11053
144,10858,1,11055
145,10859,1,11055
146,10860,1,11053
147,10861,1,11053
148,10862,1,11055
149,10863,1,11055
150,10864,1,11057
151,10865,1,11053
152,10866,1,11055
153,10867,1,11053
154,10868,1,11057
155,10869,1,11057
156,10870,1,11054
157,10871,1,11055
158,10872,1,11056
159,10873,1,11057
160,10874,1,11055
161,10875,1,11056
162,10876,1,11056
163,10877,1,11056
164,10878,1,11053
165,10879,1,11055
166,10880,1,11053
167,10881,1,11056
168,10882,1,11056
169,10883,1,11054
170,10884,1,11057
171,10885,1,11055
172,10886,1,11056
173,10887,1,11056
174,10888,1,11055
175,10889,1,11055
176,10890,1,11055
177,10891,1,11057
178,10892,1,11055
179,10893,1,11054
180,10894,1,11057
181,10895,1,11054
182,10896,1,11055
183,10897,1,11057
184,10898,1,11057
185,10899,1,11057
186,10900,1,11054
187,10901,1,11056
188,10902,1,11054
189,10903,1,11054
190,10904,1,11053
191,10905,1,11055
192,10906,1,11054
193,10907,1,11054
194,10908,1,11056
195,10909,1,11055
196,10910,1,11054
197,10911,1,11055
198,10912,1,11055
199,10913,1,11057
200,10914,1,11054
201,10915,1,11055
202,10916,1,11056
203,10917,1,11056
204,10918,1,11055
205,10919,1,11053
206,10920,1,11054
207,10921,1,11057
208,10922,1,11053
209,10923,1,11053
210,10924,1,11055
211,10925,1,11053
212,10926,1,11057
213,10927,1,11055
214,10928,1,11055
215,10929,1,11055
216,10930,1,11055
217,10931,1,11055
218,10932,1,11053
219,10933,1,11055
220,10934,1,11057
221,10935,1,11055
222,10936,1,11054
223,10937,1,11053
224,10938,1,11056
225,10939,1,11053
226,10940,1,11056
227,10941,1,11057
228,10942,1,11057
229,10943,1,11056
230,10944,1,11056
231,10945,1,11055
232,10946,1,11057
233,10947,1,11056
234,10948,1,11055
235,10949,1,11056
236,10950,1,11056
237,10951,1,11054
238,10952,1,11054
239,10953,1,11055
240,10954,1,11055
241,10955,1,11053
242,10956,1,11055
243,10957,1,11053
244,10958,1,11055
245,10959,1,11056
246,10960,1,11056
247,10961,1,11056
248,10962,1,11053
249,10963,1,11057
250,10964,1,11057
251,10965,1,11053
252,10966,1,11053
253,10967,1,11053
254,10968,1,11056
255,10969,1,11053
256,10970,1,11054
257,10971,1,11056
258,10972,1,11055
259,10973,1,11056
260,10974,1,11055
261,10975,1,11054
262,10976,1,11056
263,10977,1,11056
264,10978,1,11053
265,10979,1,11056
266,10980,1,11055
267,10981,1,11057
268,10982,1,11057
269,10983,1,11053
270,10984,1,11056
271,10985,1,11055
272,10986,1,11056
273,10987,1,11056
274,10988,1,11057
275,10989,1,11057
276,10990,1,11057
277,10991,1,11056
278,10992,1,11057
279,10993,1,11057
280,10994,1,11057
281,10995,1,11053
282,10996,1,11054
283,10997,1,11056
284,10998,1,11053
285,10999,1,11056
286,11000,1,11056
287,11001,1,11053
288,11002,1,11056
289,11003,1,11056
290,11004,1,11056
291,11005,1,11056
292,11006,1,11056
293,11007,1,11057
294,11008,1,11056
295,11009,1,11055
296,11010,1,11056
297,11011,1,11055
298,11012,1,11055
299,11013,1,11055
300,11014,1,11055
301,11015,1,11057
302,11016,1,11054
303,11017,1,11054
304,11018,1,11054
305,11019,1,11054
306,11020,1,11054
307,11021,1,11054
308,11022,1,11054
309,11023,1,11054
310,11024,1,11054
311,11025,1,11054
312,11026,1,11054
313,11027,1,11054
314,11028,1,11053
315,11029,1,11053
316,11030,1,11056
317,11031,1,11056
318,11032,1,11055
319,11033,1,11057
320,11034,1,11054
321,11035,1,11057
322,11036,1,11056
323,11037,1,11053
324,11038,1,11053
325,11039,1,11055
326,11040,1,11054
327,11041,1,11056
328,11042,1,11053
329,11043,1,11056
330,11044,1,11056
331,11045,1,11055
332,11046,1,11057
333,11047,1,11056
334,11048,1,11056
335,11049,1,11056
336,11050,1,11056
337,11051,1,11056
338,11052,1,11054
339,4218,2,11054
340,4218,2,11054
341,4218,2,11054
342,4218,2,11054
343,4218,2,11054
344,4218,2,11054
345,4218,2,11054
346,4218,2,11054
347,9548,2,11053
348,9548,2,11057
349,9548,2,11053
350,9548,2,11053
351,4585,2,11054
352,4585,2,11054
353,4585,2,11054
354,4585,2,11054
355,4585,2,11054
356,10147,2,11056
357,10147,2,11053
358,10147,2,11056
359,3213,2,11053
360,3213,2,11055
361,3213,2,11053
362,3213,2,11053
363,3213,2,11055
364,3213,2,11055
365,2918,2,11054
366,2918,2,11054
367,2918,2,11054
368,5684,2,11053
369,5684,2,11053
370,10393,2,11053
371,10393,2,11057
372,10393,2,11053
373,5573,2,11055
374,5573,2,11053
375,5573,2,11053
376,5573,2,11053
377,5573,2,11053
378,1233,2,11053
379,1233,2,11053
380,7270,2,11054
381,7270,2,11054
382,7270,2,11054
383,7270,2,11054
384,7270,2,11054
385,7270,2,11054
386,7182,2,11057
387,7182,2,11057
388,7182,2,11056
389,7182,2,11056
390,2168,2,11054
391,2168,2,11054
392,2168,2,11054
393,2168,2,11054
394,7324,2,11056
395,7324,2,11053
396,7324,2,11057
397,7324,2,11057
398,7324,2,11057
399,7324,2,11056
400,7324,2,11054
401,7324,2,11056
402,7324,2,11057
403,7324,2,11057
404,7324,2,11055
405,7324,2,11054
406,7324,2,11054
407,7324,2,11054
408,7324,2,11053
409,620,2,11057
410,620,2,11057
411,620,2,11057
412,620,2,11054
413,620,2,11056
414,7910,2,11055
415,7910,2,11053
416,7910,2,11055
417,7910,2,11053
418,7910,2,11055
419,7910,2,11053
420,7910,2,11053
421,2080,2,11054
422,2080,2,11054
423,2080,2,11054
424,2080,2,11054
425,6791,2,11054
426,6791,2,11056
427,6791,2,11056
428,6227,2,11056
429,6227,2,11055
430,6227,2,11055
431,6227,2,11057
432,6227,2,11055
433,9531,2,11054
434,9531,2,11056
435,9168,2,11053
436,9168,2,11055
437,9168,2,11056
438,9168,2,11053
439,9168,2,11053
440,705,2,11053
441,705,2,11053
442,8977,2,11053
443,8977,2,11053
444,8977,2,11053
